,cui,semtyp,Name
7362,C0206414,Gene or Genome,"Genes, Reporter"
7363,C1054956,Plant,Gaussia <angiosperm>
7364,C0597302,Molecular Function,protein reconstitution
7365,C0683162,Quantitative Concept,dose-response curve
7366,C0077608,Organic Chemical,U 18666A
7367,C0661318,Organic Chemical,1-methyl-1-piperidinomethane sulfonate
7368,C0022497,Geographic Area,Kansas (geographic location)
7369,C1136140,Organ or Tissue Function,Long-Term Synaptic Depression
7370,C4556170,Virus,Pseudovirus
7371,C1710679,Conceptual Entity,Workflow
7372,C0950143,Intellectual Product,SWISS-PROT
7373,C1418676,Gene or Genome,PMP2 gene
7374,C0443146,Pathologic Function,Autoimmune reaction
7375,C0001314,Disease or Syndrome,Acute Disease
7376,C0011304,Pathologic Function,Demyelination
7377,C2674516,Finding,Loss of myelin
7378,C0020746,Inorganic Chemical,Ice
7379,C0790233,Pharmacologic Substance,Distilled water
7380,C0599739,Molecular Function,synergism
7381,C0851364,Qualitative Concept,Social Circumstances
7382,C0330532,Plant,Slippery elm
7383,C0039195,Cell,Cytotoxic T-Lymphocytes
7384,C0024548,Geographic Area,Malawi
7385,C0949854,Pharmacologic Substance,Plant Preparations
7386,C2981265,Biomedical or Dental Material,Lyophilized powder
7387,C1077177,Plant,Isatis indigotica
7388,C0936179,Plant,Glycyrrhiza uralensis
7389,C1001040,Plant,Houttuynia cordata
7390,C0277811,Spatial Concept,Fowler's position
7391,C0870373,Qualitative Concept,credibility
7392,C0332282,Temporal Concept,Following
7393,C0039554,"Nucleic Acid, Nucleoside, or Nucleotide","Terminator Regions, Genetic"
7394,C0796617,Quantitative Concept,Sun protection factor
7395,C0017261,Genetic Function,Gene Duplication
7396,C2753460,Cell Component,inner mucus layer
7397,C0682610,Cell,Enterocytes
7398,C1419816,Gene or Genome,SAR1B gene
7399,C0018296,"Amino Acid, Peptide, or Protein",Guanosine Triphosphate Phosphohydrolases
7400,C1641805,Quantitative Concept,Packet - Unit dose
7401,C1428397,Gene or Genome,EXOC8 gene
7402,C1166666,Cell Component,exocyst
7403,C0019948,Health Care Activity,Hospital Administration
7404,C0007673,Geographic Area,Central African Republic
7405,C0026809,Mammal,Mus
7406,C3653289,Pharmacologic Substance,Salt irrigating solutions
7407,C1612819,"Amino Acid, Peptide, or Protein","CFTR protein, human"
7408,C3178895,Gene or Genome,"Genes, Modifier"
7409,C0041582,Pathologic Function,Ulcer
7410,C0001883,Disease or Syndrome,Airway Obstruction
7411,C0162585,Cell Function,Ion Transport
7412,C0599333,"Body Part, Organ, or Organ Component",Epithelium of bronchus
7413,C0205039,"Body Part, Organ, or Organ Component",Bronchial
7414,C0755562,Organic Chemical,U 0126
7415,C0729531,Disease or Syndrome,Viral respiratory infection
7416,C0276447,Disease or Syndrome,Rhinovirus infection
7417,C1257857,Cell,COS-1 Cells
7418,C0242536,Geographic Area,American Samoa
7419,C1414181,Gene or Genome,DUSP10 gene
7420,C1522653,Functional Concept,Endotracheal Route of Drug Administration
7421,C3827001,Immunologic Factor,TLR4 Agonist G100
7422,C0018188,Pathologic Function,Granuloma
7423,C4331206,Functional Concept,RAS Family Transcriptional Profile
7424,C0242633,Cell,T-helper cell type 2
7425,C1442786,Finding,Recurrent acute respiratory tract infection
7426,C0036238,Virus,Satellite Viruses
7427,C0029883,Disease or Syndrome,Otitis Media with Effusion
7428,C0029892,Biomedical Occupation or Discipline,Otolaryngology specialty
7429,C0041450,Therapeutic or Preventive Procedure,Tympanostomy Tube Insertion
7430,C0071006,"Amino Acid, Peptide, or Protein",phytobacteriomycin
7431,C1553877,Qualitative Concept,Deleted - ConceptStatus
7432,C0597363,Virus,recombinant virus
7433,C0599561,"Amino Acid, Peptide, or Protein",e protein
7434,C0332161,Qualitative Concept,Attenuated by (contextual qualifier)
7435,C0444414,Hazardous or Poisonous Substance,Biocides
7436,C0037949,"Body Part, Organ, or Organ Component",Vertebral column
7437,C0034606,Diagnostic Procedure,Radionuclide Imaging
7438,C0027463,Health Care Related Organization,"National Institute for Occupational Safety and Health, U.S."
7439,C0204774,Therapeutic or Preventive Procedure,Soaking Procedure
7440,C0282246,Geographic Area,West Bank
7441,C0035335,Neoplastic Process,Retinoblastoma
7442,C0439482,Quantitative Concept,Hertz (Hz)
7443,C0025953,Functional Concept,Microbiological
7444,C2347584,Health Care Related Organization,Central Institutional Review Board
7445,C0023473,Neoplastic Process,"Myeloid Leukemia, Chronic"
7446,C1289919,Substance,Intravenous fluid
7447,C1527336,Disease or Syndrome,Sjogren's Syndrome
7448,C3272561,Intellectual Product,Proprietary Method
7449,C0746919,Finding,NO TREATMENT
7450,C0010031,"Body Part, Organ, or Organ Component",Cornea
7451,C0030193,Sign or Symptom,Pain
7452,C0441723,Phenomenon or Process,Irritation
7453,C0033774,Sign or Symptom,Pruritus
7454,C0015399,Biomedical or Dental Material,Eye Drops
7455,C0443121,Pharmacologic Substance,Cryoprecipitate
7456,C0318717,Virus,Equine rotavirus
7457,C0024523,Disease or Syndrome,Malabsorption Syndrome
7458,C0029391,Natural Phenomenon or Process,Osmosis
7459,C0205617,Qualitative Concept,Poorly differentiated
7460,C0424790,Sign or Symptom,Rigor - Temperature-associated observation
7461,C1880945,Molecular Biology Research Technique,Gene Expression Analysis
7462,C0600597,Research Device,Oligonucleotide Arrays
7463,C0178476,Intellectual Product,analytical method
7464,C1335798,Gene or Genome,S100A9 gene
7465,C1256801,Receptor,"FPR1 protein, human"
7466,C1413212,Gene or Genome,CD24 gene
7467,C0342637,Disease or Syndrome,"Hypocalciuric hypercalcemia, familial, type 1"
7468,C0277787,Finding,Social stigmata
7469,C2718048,Virus,"Influenza A Virus, H1N2 Subtype"
7470,C0085166,Disease or Syndrome,Bacterial Vaginosis
7471,C0036110,Fish,Salmon
7472,C0332597,Functional Concept,Duplication (finding)
7473,C0599050,Fish,teleost
7474,C0003146,Mammal,Subfamily Antilopinae (organism)
7475,C0030933,"Amino Acid, Peptide, or Protein",Peptide Elongation Factor Tu
7476,C0003486,Disease or Syndrome,Aortic Aneurysm
7477,C0059038,"Amino Acid, Peptide, or Protein",Peptide Elongation Factor G
7478,C2754599,Cell Function,cellular response to cholesterol
7479,C0378781,"Amino Acid, Peptide, or Protein","TAL1 protein, human"
7480,C0605411,Organic Chemical,austin
7481,C0039711,Geographic Area,Texas
7482,C0814942,Population Group,Han Chinese
7483,C1422268,Gene or Genome,APOM gene
7484,C0011860,Disease or Syndrome,"Diabetes Mellitus, Non-Insulin-Dependent"
7485,C0311400,Functional Concept,Metabolic
7486,C0206466,Virus,"Parvovirus, Canine"
7487,C0680147,Social Behavior,social event
7488,C0030378,"Body Part, Organ, or Organ Component",Corpora paraaortica
7489,C0022537,Geographic Area,Kazakhstan
7490,C2949227,Organic Chemical,Schiff
7491,C0037518,Pharmacologic Substance,sodium hypochlorite
7492,C0036311,Organic Chemical,Schiff Bases
7493,C0814908,Quantitative Concept,ancova
7494,C1514892,Physiologic Function,Resistance Process
7495,C0302908,Substance,Liquid substance
7496,C0007991,Hazardous or Poisonous Substance,Chemical Warfare Agents
7497,C0544357,Pharmacologic Substance,human plasma
7498,C0304925,"Amino Acid, Peptide, or Protein","albumin human, USP"
7499,C0030699,Health Care Activity,Patient Participation
7500,C1516634,Research Activity,research clinical testing
7501,C0376528,Biomedical Occupation or Discipline,Computational Biology
7502,C0025011,Virus,Measles virus
7503,C0012892,"Amino Acid, Peptide, or Protein",DNA-Directed DNA Polymerase
7504,C1824903,Gene or Genome,DDX19B gene
7505,C1421544,Gene or Genome,XPO1 gene
7506,C0066030,"Amino Acid, Peptide, or Protein",messenger ribonucleoprotein
7507,C1677144,Eukaryote,Pamplona
7508,C0949266,Therapeutic or Preventive Procedure,"Therapies, Investigational"
7509,C0017168,Disease or Syndrome,Gastroesophageal reflux disease
7510,C0028978,Organic Chemical,omeprazole
7511,C0937846,Organic Chemical,esomeprazole
7512,C0206465,Virus,"Leukemia Virus, Gibbon Ape"
7513,C0028971,Geographic Area,Oman
7514,C0683150,Quantitative Concept,plasma concentration
7515,C0108685,"Amino Acid, Peptide, or Protein",CCAAT-Enhancer-Binding Proteins
7516,C3896440,Cell Component,C/EBP complex
7517,C1515557,Amino Acid Sequence,bZIP Domain
7518,C0288011,"Amino Acid, Peptide, or Protein",NF-AT
7519,C0598864,Molecular Function,Demethylation
7520,C1414121,Gene or Genome,DNMT1 gene
7521,C1414123,Gene or Genome,DNMT3A gene
7522,C0030842,Organic Chemical,penicillins
7523,C0074726,Pharmacologic Substance,sodium bisulfite
7524,C0013278,Body System,Duffy Blood group system
7525,C1424742,Gene or Genome,EXOSC2 gene
7526,C1539372,Gene or Genome,EXOSC10 gene
7527,C1427833,Gene or Genome,SLC10A5 gene
7528,C2314882,Disease or Syndrome,Reproductive tract infection
7529,C2350466,Cell,Natural Killer T-Cells
7530,C0012383,Organic Chemical,dimercaprol
7531,C0066776,Organic Chemical,monophosphoryl lipid A
7532,C0908711,Immunologic Factor,cardiotrophin-like cytokine
7533,C0002062,Organic Chemical,Alkaloids
7534,C0201699,Laboratory Procedure,"Electrophoresis, Capillary"
7535,C0039431,Biomedical Occupation or Discipline,"Technology, Radiologic"
7536,C1419712,Gene or Genome,RPS16 gene
7537,C1419717,Gene or Genome,RPS18 gene
7538,C1419719,Gene or Genome,RPS20 gene
7539,C1419723,Gene or Genome,RPS21 gene
7540,C0135615,"Amino Acid, Peptide, or Protein",Proprotein Convertase 1
7541,C0037805,Laboratory Procedure,Spectrophotometry
7542,C0001752,Disease or Syndrome,African swine fever
7543,C0456205,Conceptual Entity,Contents
7544,C0443760,Laboratory Procedure,Total reducing substances measurement
7545,C0301818,Organic Chemical,Steroid hormone
7546,C0965025,"Amino Acid, Peptide, or Protein",mitochondrial transcription factor A
7547,C1167294,Cell Component,succinate dehydrogenase complex location
7548,C0018946,Pathologic Function,"Hematoma, Subdural"
7549,C0179547,Manufactured Object,video cameras
7550,C0222070,"Body Part, Organ, or Organ Component",Shell gland
7551,C0008858,Molecular Function,Citric Acid Cycle
7552,C4282122,"Amino Acid, Peptide, or Protein",Peroxisome Proliferator-Activated Receptor Gamma Coactivator 1-alpha
7553,C0521447,Spatial Concept,Nuclear (nucleus)
7554,C0318356,Virus,Human virus
7555,C1676985,Virus,Human coronavirus HKU1
7556,C0330390,Plant,Beta plant
7557,C0041183,Natural Phenomenon or Process,Tropical Climate
7558,C0034120,Eukaryote,Pupa
7559,C0439205,Quantitative Concept,yard (length)
7560,C0180098,Manufactured Object,Containers
7561,C0011297,Quantitative Concept,Demographic Transition
7562,C0033551,"Amino Acid, Peptide, or Protein",Prostaglandin-Endoperoxide Synthase
7563,C0002028,Eukaryote,Algae
7564,C0005347,Idea or Concept,Ecological Bias
7565,C0026874,Organic Chemical,Mustard Gas
7566,C0871282,Social Behavior,rumors
7567,C0682187,Finding,College Completion
7568,C0023741,Occupation or Discipline,Linguistics
7569,C0024841,Finding,"Marriage, life event"
7570,C0037925,"Body Part, Organ, or Organ Component",Spinal Cord
7571,C0020094,Virus,Human T-lymphotropic virus 1
7572,C1415489,Gene or Genome,HBZ gene
7573,C0302600,Organ or Tissue Function,Angiogenic Process
7574,C0005847,"Body Part, Organ, or Organ Component",Blood Vessel
7575,C0034354,Organic Chemical,Pyruvates
7576,C0007577,Cell Function,Cell Adhesion
7577,C0021704,Mental Process,Intelligence
7578,C0332582,Qualitative Concept,Dark color
7579,C0014776,Cell Component,Red Cell Ghost
7580,C1621968,Cell Function,Cell Movement
7581,C0205115,Spatial Concept,Afferent
7582,C0024235,Body System,Lymphatic System
7583,C4524596,Pharmacologic Substance,"Human Cells, Tissues, and Cellular and Tissue-Based Products from Musculoskeletal Tissue"
7584,C0026559,Organism Function,Morphogenesis
7585,C0751982,Physiologic Function,Neutrophil Infiltration
7586,C0024296,Tissue,Lymphoid Tissue
7587,C1548384,Functional Concept,dictated - ParticipationMode
7588,C0359916,Organic Chemical,Substance with phenol structure
7589,C0064566,"Amino Acid, Peptide, or Protein",Laccase
7590,C0376495,Therapeutic or Preventive Procedure,Retreatments
7591,C0023963,Idea or Concept,Logic
7592,C1948029,Activity,Destruction (action)
7593,C0037354,Disease or Syndrome,Smallpox
7594,C0031749,Occupational Activity,Photography
7595,C0201663,Laboratory Procedure,Colloidal gold test
7596,C1321564,Medical Device,strip medical device
7597,C1522223,Functional Concept,Intraocular Route of Drug Administration
7598,C0333047,Anatomical Abnormality,Recession
7599,C0036547,Regulation or Law,Security Measures
7600,C0915260,"Amino Acid, Peptide, or Protein","SUI1 protein, human"
7601,C0206256,Gene or Genome,"Genes, Immediate-Early"
7602,C4086768,Activity,Reactivation
7603,C0694883,Gene or Genome,STK11 gene
7604,C0383017,"Amino Acid, Peptide, or Protein",CaM kinase I activator
7605,C1334477,Gene or Genome,MAP3K7 gene
7606,C0029005,"Amino Acid, Peptide, or Protein",Oncogene Proteins
7607,C1334346,"Amino Acid, Peptide, or Protein",LMP1 EBV latent membrane protein
7608,C0029017,Virus,Oncogenic Viruses
7609,C0085504,Bacterium,Chlamydophila pneumoniae
7610,C0026913,Bacterium,Mycobacterium avium
7611,C0023861,Bacterium,Listeria monocytogenes
7612,C0016677,Bacterium,Francisella tularensis
7613,C0010416,Fungus,Cryptococcus neoformans
7614,C0020115,Activity,Human Activities
7615,C1707797,Activity,Disposal
7616,C0678467,Organic Chemical,household cleaner
7617,C0887950,Biomedical Occupation or Discipline,Genomics
7618,C4327510,Cell Function,response to phosphatidylethanolamine
7619,C0596519,Finding,environmental stressor
7620,C0025196,Organic Chemical,Melanins
7621,C0030952,"Amino Acid, Peptide, or Protein",peptide synthase
7622,C0036437,Fungus,Sclerotinia
7623,C4277620,"Amino Acid, Peptide, or Protein",Transcription Activator-Like Effectors
7624,C4042810,"Amino Acid, Peptide, or Protein",Twin-Arginine-Translocation System
7625,C4477028,Qualitative Concept,Obligate
7626,C4289767,Finding,Colonization
7627,C1328814,Occupation or Discipline,Nanomedicine
7628,C0000039,Organic Chemical,"1,2-dipalmitoylphosphatidylcholine"
7629,C0040341,Organic Chemical,tobramycin
7630,C0729502,Pharmacologic Substance,Chemotherapeutic agent
7631,C0002679,Organic Chemical,amphotericin B
7632,C3714412,Substance,Bioactive substance
7633,C0042874,Organic Chemical,vitamin E
7634,C0071599,Organic Chemical,polylactic acid-polyglycolic acid copolymer
7635,C0033559,Organic Chemical,Prostaglandins E
7636,C0032604,Organic Chemical,Polystyrenes
7637,C0032474,Organic Chemical,Polyesters
7638,C0040558,Disease or Syndrome,Toxoplasmosis
7639,C0001699,Bacterium,Klebsiella pneumoniae
7640,C0445150,Intellectual Product,Serotype O157:H7
7641,C0772313,Pharmacologic Substance,colloidal silver
7642,C0597683,Clinical Drug,water solution
7643,C0014179,Disease or Syndrome,Endometritis
7644,C0043481,Biologically Active Substance,zinc
7645,C0302934,Chemical Viewed Structurally,Fullerenes
7646,C0028948,"Nucleic Acid, Nucleoside, or Nucleotide",Oligodeoxyribonucleotides
7647,C0914671,"Nucleic Acid, Nucleoside, or Nucleotide",CPG-ODN
7648,C0205114,Spatial Concept,Cylindrical (qualifier value)
7649,C1881982,Manufactured Object,Nanosensor
7650,C0449914,Functional Concept,Delivery system
7651,C2986473,Qualitative Concept,Metallic
7652,C1707714,Manufactured Object,Programmer Device
7653,C4704699,Regulation or Law,International Health Regulations
7654,C0680372,Social Behavior,sanction
7655,C0029001,Disease or Syndrome,Onchocerciasis
7656,C0018378,Disease or Syndrome,Guillain-Barre Syndrome
7657,C0298073,Receptor,early endosome antigen 1
7658,C1419203,Gene or Genome,RAB35 gene
7659,C1948037,Functional Concept,Dilute (action)
7660,C3156642,Cell Function,clathrin-dependent endocytosis
7661,C0887813,Molecular Biology Research Technique,Nucleic Acid Amplification Techniques
7662,C1270980,Professional or Occupational Group,Laboratory technologist
7663,C0430027,Laboratory Procedure,biochemical test
7664,C0282332,Machine Activity,Cold Chain
7665,C0284559,Organic Chemical,gusperimus
7666,C4505260,Natural Phenomenon or Process,Viral Quasispecies
7667,C5205016,Language,Canadian English
7668,C0086343,Biomedical Occupation or Discipline,general practice (field)
7669,C3281223,Disease or Syndrome,"CEREBELLAR ATAXIA, NEUROPATHY, AND VESTIBULAR AREFLEXIA SYNDROME"
7670,C0670896,Receptor,Toll-like receptors
7671,C1824644,Gene or Genome,CCDC115 gene
7672,C0376515,Gene or Genome,BCL2 gene
7673,C3548880,Cell Component,amphisome
7674,C1413125,Gene or Genome,SHPK gene
7675,C0025219,Organic Chemical,melatonin
7676,C0031939,"Body Part, Organ, or Organ Component",Pineal gland
7677,C0033110,Biomedical Occupation or Discipline,preventive medicine specialty
7678,C0814964,Population Group,undergraduate student
7679,C0682177,Population Group,College student
7680,C0444649,Qualitative Concept,Master
7681,C0055295,Organic Chemical,chenodeoxycholate sulfate conjugate
7682,C0588053,Population Group,Graduate (person)
7683,C1711333,Educational Activity,Graduation
7684,C1413207,Gene or Genome,CD1A gene
7685,C0439547,Temporal Concept,Points in time (qualifier value)
7686,C4277679,"Amino Acid, Peptide, or Protein",SEC Translocation Channels
7687,C2827654,Qualitative Concept,Dichotomous Response Format
7688,C0041186,Biomedical Occupation or Discipline,Tropical Medicine
7689,C0949216,Therapeutic or Preventive Procedure,Alternative Therapies
7690,C0445728,Bacterium,Lactobacillus johnsonii
7691,C2698653,Functional Concept,Oral Gavage Route of Administration
7692,C0525033,Bacterium,Probiotics
7693,C1709533,Classification,Phylum (taxon)
7694,C0085316,Eukaryote,Apicomplexa
7695,C0024426,Cell Function,Macrophage Activation
7696,C1422014,Gene or Genome,UNC93B1 gene
7697,C0024337,"Amino Acid, Peptide, or Protein",lysine
7698,C0994452,"Amino Acid, Peptide, or Protein",Ubiquitins
7699,C1710234,Spatial Concept,Subsite
7700,C1424654,Gene or Genome,CDC42EP3 gene
7701,C0242802,Research Activity,Patient Selection
7702,C0015357,Therapeutic or Preventive Procedure,Extracorporeal Membrane Oxygenation
7703,C0036980,Pathologic Function,"Shock, Cardiogenic"
7704,C1513882,Health Care Related Organization,National Cancer Institute
7705,C0208355,"Amino Acid, Peptide, or Protein",multicatalytic endopeptidase complex
7706,C0335038,Professional or Occupational Group,Reporter (occupation)
7707,C0013125,Spatial Concept,intravenous administration
7708,C0078080,"Amino Acid, Peptide, or Protein","vasopressin, 1-(1-mercaptocyclohexaneacetic acid)-2-(O- methyl-L-tyrosine)-8-L-arginine-"
7709,C1136102,"Amino Acid, Peptide, or Protein",Capsid Proteins
7710,C0965594,Organic Chemical,resiquimod
7711,C0229664,Body Substance,peripheral blood
7712,C0265218,Disease or Syndrome,Neu-Laxova syndrome
7713,C0392920,Therapeutic or Preventive Procedure,Chemotherapy Regimen
7714,C1257739,Cell,NIH 3T3 Cells
7715,C0301704,Organic Chemical,phosphatidylserine
7716,C0013089,Organic Chemical,doxorubicin
7717,C0750600,Idea or Concept,undefined
7718,C0079337,Virus,Feline Immunodeficiency Virus
7719,C0035342,"Amino Acid, Peptide, or Protein",Retinol Binding Proteins
7720,C0103404,"Amino Acid, Peptide, or Protein",Annexin A2
7721,C1449330,"Amino Acid, Peptide, or Protein","TNK2 protein, human"
7722,C1167012,Cell Component,"Ribosome Subunits, Small"
7723,C0439583,Temporal Concept,Overnight
7724,C0020027,Health Care Related Organization,Teaching Hospitals
7725,C0042645,Geographic Area,Victoria Austrailia
7726,C0008562,Laboratory Procedure,High pressure liquid chromatography procedure
7727,C2606823,Organic Chemical,D-luciferin
7728,C1136348,Research Device,Protein Microarrays
7729,C1622891,Cell Function,Mast cell degranulation
7730,C0014467,Cell,eosinophil
7731,C0282491,Tissue,Structure of germinal center of lymph node
7732,C0337667,Finding,Cigarette smoker (finding)
7733,C0077063,Organic Chemical,trichostatin A
7734,C3178812,"Amino Acid, Peptide, or Protein",Tetraspanins
7735,C4540869,Finding,Labor Exploitation
7736,C0680242,Social Behavior,antagonism
7737,C0014122,Disease or Syndrome,Subacute Bacterial Endocarditis
7738,C0232910,Pathologic Function,Teratogenesis
7739,C0013671,Fish,Eels
7740,C0200867,Laboratory Procedure,Chromosome analysis
7741,C0042779,"Body Part, Organ, or Organ Component",Viscera
7742,C0200940,Laboratory Procedure,Microbial subculture
7743,C1880266,Conceptual Entity,Defense
7744,C0450373,Intellectual Product,4a serotype
7745,C0450375,Intellectual Product,Serotype 4b
7746,C1424736,Gene or Genome,SYNE1 gene
7747,C0600383,Spatial Concept,"Protein Conformation, beta-Strand"
7748,C0740394,Disease or Syndrome,Hyperuricemia
7749,C0022661,Disease or Syndrome,"Kidney Failure, Chronic"
7750,C0073020,"Amino Acid, Peptide, or Protein",recombinase
7751,C0017393,Genetic Function,Genetic Markers
7752,C0242960,Organism Attribute,Genetic Heterogeneity
7753,C0005515,Biologically Active Substance,Biological Factors
7754,C0376659,Immunologic Factor,Cancer Vaccines
7755,C2347881,Finding,Radiation Overexposure Medical Device Problem
7756,C1549845,Intellectual Product,R21
7757,C4549501,Organic Chemical,Matrix-M
7758,C1173600,"Amino Acid, Peptide, or Protein","BIRC4 protein, human"
7759,C0041361,Immunologic Factor,Tumor Antigens
7760,C0520498,Virus,Cowpea Mosaic Virus
7761,C2336985,Spatial Concept,Polyhedron
7762,C1553036,Quantitative Concept,Nano
7763,C3900047,Research Activity,Analysis Method
7764,C1328949,Genetic Function,RNA replication
7765,C0013990,Pathologic Function,Pathological accumulation of air in tissues
7766,C1510996,Qualitative Concept,Avidity
7767,C0312555,Immunologic Factor,Neoantigen
7768,C0439994,Hazardous or Poisonous Substance,Tobacco smoke
7769,C1155229,Cell Function,Humoral immune response
7770,C1415761,Gene or Genome,HSPA5 gene
7771,C0029431,Cell,Osteoclasts
7772,C0030358,Virus,Papillomavirus
7773,C1419141,Gene or Genome,PVR gene
7774,C0301642,Molecular Function,Denaturation
7775,C0205618,Qualitative Concept,Undifferentiated
7776,C1706821,Gene or Genome,Antigen Gene
7777,C0205281,Qualitative Concept,Invasive
7778,C0919490,Gene or Genome,SPI1 gene
7779,C0450545,Body Location or Region,Spleen acupuncture point SP2
7780,C0067005,Immunologic Factor,Mycobacterium tuberculosis antigen 5
7781,C0205384,Spatial Concept,Branching (qualifier value)
7782,C0376473,Virus,Astroviridae
7783,C0332459,Functional Concept,Compressed structure
7784,C0887869,Cell Component,Cell-Matrix Junction
7785,C0877857,Immunologic Factor,Immunoglobulin Variable Region
7786,C0030247,Diagnostic Procedure,Palpation
7787,C0331782,Health Care Related Organization,becton dickinson
7788,C0010815,Biologically Active Substance,Cytokinins
7789,C0751283,"Amino Acid, Peptide, or Protein",Multiprotein Complexes
7790,C0010868,Biologically Active Substance,Cytotoxin
7791,C2699427,Idea or Concept,Conjunction
7792,C0086982,Molecular Function,Signal Transduction Pathways
7793,C1516019,Physiologic Function,Negative Regulation of Inflammatory Response Process
7794,C2611094,Molecular Function,ERK1 and ERK2 cascade
7795,C0599933,"Amino Acid, Peptide, or Protein",synaptotagmin p65
7796,C1883410,"Amino Acid, Peptide, or Protein",Tumor-Related Protein
7797,C1418793,Gene or Genome,PPIA gene
7798,C0887894,Immunologic Factor,Respiratory Syncytial Virus Vaccines
7799,C0441704,Health Care Activity,Typing Classification
7800,C0277797,Finding,Apyrexial
7801,C0014139,Cell Function,Endocytosis
7802,C0431085,Cell,"Tumor cells, uncertain whether benign or malignant"
7803,C1160191,Organism Function,regulation of growth
7804,C0236525,Immunologic Factor,Epstein-Barr virus antibody
7805,C1268456,Cell Component,Viral Components
7806,C1969616,Gene or Genome,FOXO6 gene
7807,C1947931,Qualitative Concept,Direct (qualifier)
7808,C1333336,Gene or Genome,EP300 gene
7809,C0887909,"Nucleic Acid, Nucleoside, or Nucleotide","RNA, Untranslated"
7810,C0016633,Mammal,Foxes
7811,C1615053,Virus,"Influenza A Virus, H3N2 Subtype"
7812,C1449556,Organic Chemical,Ebola Vaccines
7813,C0016071,Organic Chemical,Ficoll
7814,C0454673,Geographic Area,Jersey Island
7815,C1416988,Gene or Genome,MAK gene
7816,C0282646,Laboratory Procedure,Indirect Immunofluorescence
7817,C3887509,Mammal,Rabbits
7818,C0257766,Immunologic Factor,"SILV protein, human"
7819,C0018894,Cell,Helper-Inducer T-Lymphocyte
7820,C0040905,Organic Chemical,Trichloroethylene
7821,C0039620,Immunologic Factor,Tetanus Vaccine
7822,C0000368,Organic Chemical,"3,3'-Diaminobenzidine"
7823,C0018964,Organic Chemical,Hematoxylin
7824,C1710568,Intellectual Product,Universal Protein Resource
7825,C1158817,Genetic Function,viral transcription
7826,C1415634,Gene or Genome,HNRNPA1 gene
7827,C1417190,Gene or Genome,MLN gene
7828,C1418650,Gene or Genome,PLN gene
7829,C1518071,Qualitative Concept,Lymphoid
7830,C2347900,Therapeutic or Preventive Procedure,Rechallenge
7831,C1275684,Disease or Syndrome,Meibomian gland dysfunction
7832,C0429865,Quantitative Concept,Principal Component Analysis
7833,C0430402,Laboratory Procedure,Bacterial culture (procedure)
7834,C0006764,Mammal,Callithrix
7835,C0439665,Qualitative Concept,Purulent
7836,C0006285,Disease or Syndrome,Bronchopneumonia
7837,C0006660,Organ or Tissue Function,Physiologic calcification
7838,C0162867,Tissue,Tunica Media
7839,C0013604,Pathologic Function,Edema
7840,C0162864,"Body Part, Organ, or Organ Component",Tunica Intima
7841,C0349470,Disease or Syndrome,Neonatal aspiration of amniotic fluid
7842,C0227650,Cell,Juxtaglomerular cell
7843,C1644952,Virus,Acanthamoeba polyphaga mimivirus
7844,C1412526,Gene or Genome,ARHGDIB gene
7845,C0428642,Finding,Pulmonary artery pressure
7846,C3850021,Substance,Permafrost
7847,C2648657,Virus,Mimiviridae
7848,C0200665,Laboratory Procedure,Platelet mean volume determination (procedure)
7849,C1538915,Gene or Genome,APLN gene
7850,C4320090,"Amino Acid, Peptide, or Protein","Receptor Tyrosine-Protein Kinase erbB-2 Carboxyl Terminal Fragment, human"
7851,C0025250,"Amino Acid, Peptide, or Protein",Neprilysin
7852,C0162871,Disease or Syndrome,"Aortic Aneurysm, Abdominal"
7853,C0034963,Organ or Tissue Function,Natural regeneration
7854,C1421318,Gene or Genome,SCGB1A1 gene
7855,C1442758,Gene or Genome,SFTPC gene
7856,C0106701,"Amino Acid, Peptide, or Protein","BMI1 protein, human"
7857,C1333261,"Amino Acid, Peptide, or Protein",Deacetylase
7858,C1149763,Molecular Function,deacetylase activity
7859,C2348266,"Element, Ion, or Isotope",Dietary Fluorine
7860,C4684445,Functional Concept,Delineate
7861,C0008574,"Element, Ion, or Isotope",chromium
7862,C0069639,Organic Chemical,oridonin
7863,C3828842,Qualitative Concept,Nearly
7864,C3686628,Finding,Physical stress due to shipping
7865,C1650306,Fungus,Taiwanofungus camphoratus
7866,C0004595,Bacterium,Bacillus subtilis
7867,C0007258,"Amino Acid, Peptide, or Protein",carnitine
7868,C0085403,Chemical Viewed Functionally,Oxidants
7869,C1711206,Organization,Partnership
7870,C0035958,Activity,Rural Development
7871,C0428479,Laboratory or Test Result,Protein level - finding
7872,C1425961,Gene or Genome,TRIM52 gene
7873,C0018909,Immunologic Factor,Hemagglutinin
7874,C0010546,Natural Phenomenon or Process,Cyclization
7875,C1518101,Laboratory Procedure,Matrix-Assisted Laser Desorption/Ionization-Time of Flight Mass Spectrometry
7876,C0439596,Temporal Concept,Cyclical
7877,C0014898,Organic Chemical,Esters
7878,C0040541,Biomedical Occupation or Discipline,Toxicology
7879,C0006142,Neoplastic Process,Malignant neoplasm of breast
7880,C0038088,Geographic Area,Sri Lanka
7881,C0680340,Organization,collective
7882,C0949632,Laboratory Procedure,Electrophoretic Mobility Shift Assay
7883,C0018364,"Amino Acid, Peptide, or Protein",Ribonuclease T1
7884,C0016925,"Amino Acid, Peptide, or Protein","Fusion Proteins, gag-pol"
